CompanyName,TypeOfLaptop,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Microsoft,UltraBook,13.98333935847321,4K,Intel Xeon E3-1505M ,4GB,6TB HDD,NVIDIA GeForce GTX 1650,Linux,2.809613932482435,32270.29345624266
hp,WorkStation,11.759460670238747,2K,AMD Ryzen 5,4GB,1TB Fusion Drive,AMD Radeon RX 5600M,No OS,3.4810816428651803,51050.69801816775
Chuwi,WorkStation,17.350411831321335,IPS Panel Retina Display 2560x1600,Intel Core i9,12GB,2TB NVMe SSD,AMD Radeon RX 5600M,Linux,4.308987657524096,64759.50341105471
Dell,NoteBook,16.07688606640552,4K,AMD A9-Series 9420,12GB,1TB Fusion Drive,Intel Iris Xe Graphics,Windows 10,4.50960492001209,35381.349979388215
MSI,Business Laptop,11.040315806405003,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i9,4GB,512GB eMMC,AMD Radeon RX 5600M,No OS,2.1727775292643017,58607.328435670745
Asus,Gaming,16.4229390559853,2K,Intel Celeron Dual Core 3855U ,8GB,256GB eMMC,AMD Radeon RX 5600M,No OS,3.2323344994954053,57349.57656821054
Dell,Gaming,12.062422664655324,2K,Intel Pentium Quad Core N4200,8GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,3.593361993527603,80798.3902349552
Chuwi,WorkStation,16.096160942619065,IPS Panel Retina Display 2560x1600,Intel Core i7,12GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,Linux,3.775666232212382,38326.634266166606
Asus,WorkStation,12.03231658976971,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,4GB,512GB NVMe SSD,NVIDIA GeForce GTX 1650,Windows 10,3.9819827089355595,30718.82230415548
Asus,Business Laptop,17.61382848513086,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 7,16GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,macOS,2.971002166603256,43514.93474815067
hp,UltraBook,14.050543264004954,IPS Panel Retina Display 2560x1600,Intel Core i9,4GB,256GB Flash Storage,AMD Radeon RX 5600M,No OS,4.320092400067554,64743.6164243549
MSI,WorkStation,12.776887275098286,4K,AMD Ryzen 7,16GB,512GB NVMe SSD,AMD Radeon RX 5600M,Windows 10,3.9629520608572597,52172.81281276244
Asus,WorkStation,13.426057858063889,IPS Panel Retina Display 2560x1600,AMD A9-Series 9420,16GB,2TB SATA SSD,Intel Iris Xe Graphics,No OS,2.586397232327635,48954.92039767393
Acer,WorkStation,17.282456930064377,2K,AMD Ryzen 7,16GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,Windows 10,2.5654322287291227,53738.412436708335
Microsoft,NoteBook,11.023705442894357,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,16GB,1TB SSHD,NVIDIA GeForce GTX 1650,No OS,3.7785163256106165,47148.78946499
Acer,2 in 1 Convertible,17.107785879844293,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,12GB,512GB NVMe SSD,AMD Radeon RX 5600M,No OS,2.9340592895281095,37392.91775243326
Dell,WorkStation,17.509679259971982,Full HD,AMD Ryzen 7,4GB,1TB SSHD,AMD Radeon RX 5600M,Linux,2.64759875520437,69086.96774340079
Dell,Gaming,11.227003211474088,2K,Intel Core i5,8GB,256GB Flash Storage,NVIDIA GeForce GTX 1650,Windows 10,3.1743176980564574,81181.35561353981
hp,NoteBook,17.264544074169837,Full HD,AMD Ryzen 7,4GB,256GB SSD,Intel Iris Xe Graphics,No OS,3.951851762217415,56122.05038937082
hp,2 in 1 Convertible,15.324445048044865,HD 1920x1080 ,Intel Atom x5-Z8550,16GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,No OS,3.4708432830099487,49294.292480718665
Apple,WorkStation,13.38894261115102,Full HD,Intel Core i5,16GB,256GB PCIe SSD,AMD Radeon RX 5600M,No OS,3.076429485167212,68607.14691582673
Microsoft,Business Laptop,11.897006090335006,2K,Intel Core i5,4GB,512GB NVMe SSD,AMD Radeon RX 5600M,No OS,3.8125582050623406,68551.97408406183
Apple,WorkStation,12.27669312193173,4K,AMD Ryzen 5,16GB,1TB HDD,NVIDIA GeForce GTX 1650,No OS,4.729832503096221,45213.134120488685
Apple,Business Laptop,11.482309042055382,4K,Intel Core i5,8GB,2TB SATA SSD,AMD Radeon RX 5600M,Windows 11,4.125877362751972,45868.184247223224
MSI,WorkStation,14.708476335003388,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,4GB,256GB Flash Storage,AMD Radeon RX 5600M,macOS,4.64278623985688,44571.336888488804
Chuwi,UltraBook,16.68121458167773,Full HD,Intel Core i5,8GB,1TB NVMe SSD,Intel Iris Xe Graphics,No OS,3.971507937868999,33083.81128512601
Microsoft,NoteBook,11.260369444024624,HD 1920x1080 ,AMD Ryzen 5,12GB,1TB NVMe SSD,NVIDIA GeForce GTX 1650,Linux,4.911045562449779,53119.17472149122
lenevo,WorkStation,16.01727690630932,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,12GB,1TB SSHD,AMD Radeon RX 5600M,macOS,4.715551459555346,50204.14926101452
Asus,Gaming,14.976789811468185,HD 1920x1080 ,Intel Core i5,16GB,256GB SSD,NVIDIA GeForce GTX 1650,macOS,3.0477420980085714,49590.19103503029
hp,Gaming,16.701057052688974,4K,Intel Pentium Quad Core N4200,12GB,512GB eMMC,AMD Radeon RX 5600M,Linux,4.7405865980463116,69429.34645416866
Acer,2 in 1 Convertible,17.644447474203286,4K,Intel Core i7,4GB,2TB SATA SSD,AMD Radeon RX 5600M,Windows 10,3.0236853053877484,30080.22502605794
Microsoft,Gaming,14.633937172728015,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i9,8GB,2TB HDD,Intel Iris Xe Graphics,macOS,2.693263119525025,56819.15885224809
Dell,NoteBook,13.396156837884561,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 5,12GB,1TB SSHD,Intel Iris Xe Graphics,No OS,4.094620474175988,66498.91206546055
Apple,WorkStation,17.618280432218715,IPS Panel Retina Display 2560x1600,AMD A9-Series 9420,16GB,128GB PCIe SSD,AMD Radeon RX 5600M,Windows 10,2.185509153196578,67815.62809268468
lenevo,NoteBook,12.995120114974238,IPS Panel Retina Display 2560x1600,AMD Ryzen 5,4GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,No OS,3.170421756857872,45228.36857023661
lenevo,Business Laptop,13.291421472559374,4K,AMD Ryzen 7,12GB,512GB SSD,Intel Iris Xe Graphics,No OS,3.1163691464025582,51853.55627914956
Acer,Gaming,11.423013920888751,2K,Intel Pentium Quad Core N4200,12GB,256GB PCIe SSD,AMD Radeon RX 5600M,macOS,3.737081584804026,32709.662525887663
Asus,UltraBook,13.573325706993227,2K,Intel Core i9,4GB,1TB Fusion Drive,Intel Iris Xe Graphics,No OS,3.575955062214006,59530.068491035694
Dell,WorkStation,13.123141735501248,2K,Intel Celeron Dual Core 3855U ,8GB,4TB HDD,Intel Iris Xe Graphics,macOS,2.0373978688242893,92504.85333386283
Dell,2 in 1 Convertible,13.248184175370211,2K,Intel Atom x5-Z8550,8GB,256GB Flash Storage,Intel Iris Xe Graphics,No OS,2.358342665797606,71431.63591746309
MSI,2 in 1 Convertible,13.220724159843334,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,16GB,2TB HDD,Intel Iris Xe Graphics,Windows 10,3.718543049247974,61479.849352323465
Dell,Gaming,11.17764234871078,Full HD,Intel Atom x5-Z8550,12GB,512GB SSD,NVIDIA GeForce GTX 1650,Windows 11,2.216886664237576,69801.71588807236
Apple,UltraBook,13.440509239984527,HD 1920x1080 ,AMD Ryzen 5,12GB,256GB SSD,AMD Radeon RX 5600M,macOS,3.3310575675241694,39445.71065067687
Asus,2 in 1 Convertible,12.265032162204704,Full HD,Intel Atom x5-Z8550,12GB,256GB Flash Storage,NVIDIA GeForce GTX 1650,Windows 10,3.8881014979678894,68173.88308803152
Microsoft,2 in 1 Convertible,17.19422593786943,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,16GB,256GB PCIe SSD,Intel Iris Xe Graphics,macOS,3.354577922938484,32579.902620026736
hp,UltraBook,13.964577149620382,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,8GB,128GB SSD,AMD Radeon RX 5600M,No OS,2.938629591540906,67721.97437895008
Asus,Gaming,14.86746090521603,IPS Panel Full HD / Touchscreen 1920x1080,Intel Xeon E3-1505M ,12GB,1TB SSHD,Intel Iris Xe Graphics,Windows 10,4.018855090089422,30846.188199488737
Acer,WorkStation,12.229730614957818,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,16GB,512GB NVMe SSD,NVIDIA GeForce GTX 1650,Windows 11,2.5528487915398497,34556.77002062784
Acer,2 in 1 Convertible,11.71739663624422,Full HD,Intel Atom x5-Z8550,4GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,Linux,3.7446781195255543,67418.65046444425
Acer,UltraBook,16.315181070535914,2K,AMD Ryzen 5,16GB,4TB HDD,Intel Iris Xe Graphics,No OS,4.180770412878424,41677.40206126458
MSI,UltraBook,15.362420681764192,4K,Intel Pentium Quad Core N4200,8GB,1TB HDD,Intel Iris Xe Graphics,Linux,3.628929907675062,59762.84788086408
Chuwi,WorkStation,14.618868841640428,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 5,12GB,4TB HDD,NVIDIA GeForce GTX 1650,Linux,3.5308428576169817,39022.23732771691
lenevo,WorkStation,15.131688162458275,HD 1920x1080 ,Intel Xeon E3-1505M ,4GB,1TB SSHD,NVIDIA GeForce GTX 1650,Windows 11,2.0008186617828496,39660.950634759436
Acer,Business Laptop,13.949152146854477,HD 1920x1080 ,Intel Core i7,16GB,6TB HDD,AMD Radeon RX 5600M,Windows 10,3.7129648042380077,62535.18009747499
Apple,2 in 1 Convertible,15.467457205725127,4K,Intel Pentium Quad Core N4200,8GB,1TB SSHD,Intel Iris Xe Graphics,No OS,3.229936451517645,34671.09464383227
Asus,NoteBook,15.58218234689596,HD 1920x1080 ,Intel Xeon E3-1505M ,8GB,256GB Flash Storage,NVIDIA GeForce GTX 1650,Windows 10,2.8167016777500775,66760.04996799969
Dell,UltraBook,12.384124008665852,2K,AMD Ryzen 7,8GB,256GB Flash Storage,Intel Iris Xe Graphics,Windows 11,4.672243210966505,75580.83496380631
Chuwi,UltraBook,14.757967887786466,IPS Panel Retina Display 2560x1600,Intel Celeron Dual Core 3855U ,16GB,512GB NVMe SSD,NVIDIA GeForce GTX 1650,Windows 10,3.380822547392761,45314.71351496701
Apple,Business Laptop,17.781268124878135,Full HD,Intel Celeron Dual Core 3855U ,12GB,1TB HDD,Intel Iris Xe Graphics,No OS,4.185416684777465,33174.79737294177
hp,UltraBook,16.77242854378187,4K,Intel Core i7,16GB,4TB HDD,Intel Iris Xe Graphics,Windows 11,3.1229223678349314,67833.37910269015
Acer,Gaming,12.609154978014978,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,12GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,Linux,3.741347642030964,69349.72145955736
lenevo,Business Laptop,14.101195446604208,HD 1920x1080 ,Intel Core i7,4GB,256GB eMMC,Intel Iris Xe Graphics,Windows 11,3.391794289418821,40051.111258899306
hp,NoteBook,12.44108259959516,4K,Intel Core i5,4GB,128GB PCIe SSD,NVIDIA GeForce GTX 1650,Linux,4.168411838512942,41646.193528139724
Microsoft,UltraBook,11.814390650042473,HD 1920x1080 ,AMD Ryzen 7,8GB,256GB PCIe SSD,Intel Iris Xe Graphics,Windows 11,3.275736879933593,67447.89672547483
lenevo,Business Laptop,14.084348754288857,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,16GB,512GB NVMe SSD,AMD Radeon RX 5600M,Linux,4.56022198899741,40402.14575027303
lenevo,2 in 1 Convertible,13.706283324241095,2K,Intel Xeon E3-1505M ,4GB,1TB HDD,AMD Radeon RX 5600M,No OS,4.509748929183423,52587.59245769466
Asus,WorkStation,12.759634544252984,Full HD,AMD Ryzen 7,4GB,128GB SSD,Intel Iris Xe Graphics,Linux,4.463425787359978,52256.39524421533
Apple,Business Laptop,13.150471182838947,2K,AMD Ryzen 7,8GB,512GB eMMC,NVIDIA GeForce GTX 1650,Windows 10,2.9199964051564056,55955.290736115676
Asus,Gaming,15.8541834593068,IPS Panel Full HD / Touchscreen 1920x1080,Intel Atom x5-Z8550,16GB,512GB eMMC,AMD Radeon RX 5600M,Linux,3.166537313488735,48330.04633364635
Acer,Business Laptop,15.532463404935037,4K,Intel Pentium Quad Core N4200,8GB,4TB HDD,Intel Iris Xe Graphics,Windows 11,4.326470145492562,60957.02389218935
Dell,Business Laptop,13.064180998851413,IPS Panel Retina Display 2560x1600,Intel Atom x5-Z8550,8GB,128GB SSD,NVIDIA GeForce GTX 1650,Windows 11,2.6758919948576647,86972.09067750053
lenevo,NoteBook,12.58148974653752,Full HD,Intel Pentium Quad Core N4200,4GB,1TB NVMe SSD,Intel Iris Xe Graphics,Linux,4.918719030818748,47307.20949347643
Asus,UltraBook,15.512104956808077,4K,Intel Core i7,12GB,512GB SSD,NVIDIA GeForce GTX 1650,macOS,4.737804639723222,39473.67271113726
hp,UltraBook,12.085521061909509,IPS Panel Retina Display 2560x1600,Intel Core i7,4GB,256GB SSD,AMD Radeon RX 5600M,macOS,4.474384278930844,33494.70032517105
Chuwi,Business Laptop,17.862875747402533,HD 1920x1080 ,AMD Ryzen 5,8GB,2TB HDD,AMD Radeon RX 5600M,Windows 11,2.410315345849918,60088.17635853095
Dell,UltraBook,12.929969648048875,Full HD,Intel Xeon E3-1505M ,16GB,1TB HDD,NVIDIA GeForce GTX 1650,Linux,2.7535381422933094,46873.533926509816
Apple,Gaming,17.532003191001355,4K,Intel Atom x5-Z8550,12GB,2TB HDD,NVIDIA GeForce GTX 1650,No OS,3.583702220330769,54044.942655764695
Microsoft,2 in 1 Convertible,13.868352374226937,2K,Intel Core i7,8GB,2TB HDD,Intel Iris Xe Graphics,macOS,2.2577872831111665,40210.21710713448
Dell,Business Laptop,16.280047493138973,HD 1920x1080 ,Intel Atom x5-Z8550,8GB,256GB eMMC,NVIDIA GeForce GTX 1650,No OS,2.2004711056554873,67823.17559193043
lenevo,Business Laptop,12.004935262108276,4K,Intel Core i7,8GB,2TB SATA SSD,Intel Iris Xe Graphics,Linux,3.6695936420500326,63331.1689821517
Chuwi,UltraBook,12.884785673486524,4K,Intel Pentium Quad Core N4200,8GB,512GB eMMC,NVIDIA GeForce GTX 1650,macOS,3.412227022622488,54258.07252478514
Microsoft,WorkStation,13.96583954196632,2K,Intel Celeron Dual Core 3855U ,16GB,4TB HDD,Intel Iris Xe Graphics,Windows 11,2.4368841350658275,45718.633477473566
hp,UltraBook,16.49394432877368,HD 1920x1080 ,Intel Atom x5-Z8550,4GB,1TB SSHD,Intel Iris Xe Graphics,Windows 10,3.780124405091779,62212.10753616709
hp,UltraBook,15.38722027245822,HD 1920x1080 ,Intel Pentium Quad Core N4200,4GB,128GB SSD,Intel Iris Xe Graphics,Linux,4.830696589682037,55533.06945490859
Dell,NoteBook,11.991361127859742,4K,Intel Celeron Dual Core 3855U ,12GB,512GB SSD,Intel Iris Xe Graphics,macOS,3.7400287445595213,50059.72817409455
Asus,NoteBook,17.558133738551128,IPS Panel Full HD / Touchscreen 1920x1080,AMD A9-Series 9420,16GB,256GB SSD,AMD Radeon RX 5600M,macOS,3.480115453020841,66919.6583230576
Chuwi,WorkStation,17.439172177921385,4K,Intel Pentium Quad Core N4200,4GB,512GB SSD,Intel Iris Xe Graphics,macOS,4.587436064373392,58107.68049618196
MSI,Gaming,15.59762844430995,Full HD,Intel Core i5,16GB,6TB HDD,Intel Iris Xe Graphics,No OS,3.6053138231947837,42365.79210301193
Apple,WorkStation,14.028307845892195,Full HD,Intel Core i7,8GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,macOS,3.6072224957211874,66606.12996800363
Asus,Business Laptop,16.126018477929073,2K,AMD Ryzen 5,12GB,128GB PCIe SSD,NVIDIA GeForce GTX 1650,macOS,4.050596066710227,62505.87973151904
Acer,WorkStation,13.136544091848736,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,16GB,128GB SSD,NVIDIA GeForce GTX 1650,macOS,3.396036957201635,51203.82643023491
MSI,2 in 1 Convertible,14.497158426107,4K,Intel Xeon E3-1505M ,8GB,256GB Flash Storage,Intel Iris Xe Graphics,Windows 10,3.16428085062268,44970.185525447916
MSI,Gaming,12.013361130380364,4K,Intel Core i7,16GB,1TB SSHD,Intel Iris Xe Graphics,macOS,4.854693009608242,50451.95807052563
Acer,UltraBook,16.055912959084562,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,4GB,1TB NVMe SSD,AMD Radeon RX 5600M,macOS,3.5236317408251168,53877.52161884331
lenevo,WorkStation,14.379441635628037,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,12GB,256GB eMMC,AMD Radeon RX 5600M,No OS,4.976160067417882,39264.59973025345
Acer,WorkStation,12.06875482215224,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,16GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,Windows 11,4.230424698905956,37143.39411903306
Chuwi,WorkStation,11.337592056015687,2K,AMD Ryzen 5,12GB,512GB NVMe SSD,NVIDIA GeForce GTX 1650,No OS,3.6588707919188233,39654.42512552675
Microsoft,Gaming,16.81358080440002,IPS Panel Retina Display 2560x1600,AMD Ryzen 7,12GB,4TB HDD,AMD Radeon RX 5600M,Windows 10,4.191935785583256,35248.68565305408
Chuwi,Gaming,14.57589524806013,2K,Intel Core i9,12GB,4TB HDD,AMD Radeon RX 5600M,macOS,3.3500172214313233,45666.601824718215
lenevo,Gaming,16.735305141954044,Full HD,AMD Ryzen 5,16GB,256GB PCIe SSD,AMD Radeon RX 5600M,macOS,4.693524095679286,44755.06246210318
Acer,2 in 1 Convertible,11.766044848623125,IPS Panel Retina Display 2560x1600,Intel Core i5,8GB,256GB SSD,NVIDIA GeForce GTX 1650,macOS,2.6474870029875133,55763.54817906669
Chuwi,2 in 1 Convertible,12.893758679354818,IPS Panel Retina Display 2560x1600,Intel Core i9,8GB,1TB HDD,NVIDIA GeForce GTX 1650,Windows 11,2.9130385615020775,49028.2398021443
Microsoft,2 in 1 Convertible,13.061923027967303,IPS Panel Retina Display 2560x1600,Intel Core i9,12GB,2TB HDD,NVIDIA GeForce GTX 1650,Windows 10,3.7976374118694824,37457.2929618092
Apple,NoteBook,11.275876891131764,2K,Intel Core i7,8GB,512GB NVMe SSD,AMD Radeon RX 5600M,macOS,2.4484878174602502,62477.21481525811
Microsoft,2 in 1 Convertible,11.159789169320726,IPS Panel Full HD / Touchscreen 1920x1080,Intel Atom x5-Z8550,8GB,256GB eMMC,Intel Iris Xe Graphics,No OS,3.469937460074126,60347.38181999512
MSI,WorkStation,12.904417108579889,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,12GB,4TB HDD,Intel Iris Xe Graphics,Linux,3.7769261952491595,67262.17372489383
Apple,WorkStation,14.77294190142391,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,12GB,256GB PCIe SSD,AMD Radeon RX 5600M,Windows 10,2.1688258568841863,39941.32123679141
hp,2 in 1 Convertible,15.45905958347511,2K,Intel Core i9,12GB,256GB SSD,AMD Radeon RX 5600M,No OS,3.480468492161908,70714.53457343293
Dell,2 in 1 Convertible,16.337487331692962,4K,AMD Ryzen 5,4GB,1TB SSHD,Intel Iris Xe Graphics,macOS,2.23116318930426,35630.29535980534
Acer,UltraBook,17.66642634971427,IPS Panel Full HD / Touchscreen 1920x1080,AMD A9-Series 9420,12GB,1TB Fusion Drive,AMD Radeon RX 5600M,Windows 10,3.755371882742107,42881.44197180841
Acer,Business Laptop,12.958700991386811,2K,AMD Ryzen 5,12GB,1TB SSHD,NVIDIA GeForce GTX 1650,macOS,3.3470437209702153,64457.38151188471
hp,2 in 1 Convertible,16.7032766707508,HD 1920x1080 ,AMD A9-Series 9420,16GB,1TB NVMe SSD,Intel Iris Xe Graphics,No OS,3.5868578436918654,63003.847259675524
Asus,Business Laptop,11.738169563135513,2K,AMD Ryzen 7,8GB,256GB PCIe SSD,Intel Iris Xe Graphics,Windows 10,4.449853830826753,34364.92871832257
Asus,WorkStation,14.76227319859477,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,4GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,Windows 10,4.599291550392174,46670.01639304566
Acer,WorkStation,11.373640540744313,IPS Panel Full HD / Touchscreen 1920x1080,Intel Xeon E3-1505M ,4GB,1TB NVMe SSD,AMD Radeon RX 5600M,Windows 11,2.2029414663595306,60431.627299227584
Acer,WorkStation,12.387877619513157,2K,Intel Core i9,8GB,256GB eMMC,AMD Radeon RX 5600M,Windows 11,2.0397442148715754,61495.66407144752
hp,WorkStation,15.731542977930278,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,4GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,Windows 11,4.186898439535805,43598.65315912971
hp,Business Laptop,11.129186387647444,HD 1920x1080 ,Intel Atom x5-Z8550,16GB,2TB NVMe SSD,NVIDIA GeForce GTX 1650,macOS,4.009472141904725,53337.37380086299
Acer,WorkStation,12.128571381048122,4K,AMD Ryzen 7,16GB,2TB NVMe SSD,NVIDIA GeForce GTX 1650,macOS,4.297946254938161,65893.90916794681
hp,Gaming,13.534041368039963,2K,Intel Xeon E3-1505M ,16GB,128GB PCIe SSD,Intel Iris Xe Graphics,macOS,3.2461908154395793,31498.96740207282
lenevo,NoteBook,11.849660667459972,HD 1920x1080 ,AMD Ryzen 5,4GB,128GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,2.455778311512304,62502.15515883762
hp,UltraBook,17.843166723894186,Full HD,Intel Core i5,4GB,2TB NVMe SSD,AMD Radeon RX 5600M,Windows 11,3.8292925377223384,44155.68792209704
Chuwi,NoteBook,16.62096745164773,IPS Panel Retina Display 2560x1600,Intel Atom x5-Z8550,16GB,1TB Fusion Drive,AMD Radeon RX 5600M,Windows 11,4.800312180487429,53207.15536263355
Dell,WorkStation,14.108826173626923,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,8GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,2.9471565088024296,73789.39076686383
hp,NoteBook,15.653735871846681,IPS Panel Retina Display 2560x1600,Intel Core i7,12GB,128GB PCIe SSD,AMD Radeon RX 5600M,macOS,3.452560030608981,64808.04651417927
hp,WorkStation,13.187401383681772,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,16GB,2TB NVMe SSD,AMD Radeon RX 5600M,macOS,2.662466197609934,45674.326295561805
MSI,WorkStation,17.029436777363426,2K,Intel Xeon E3-1505M ,4GB,128GB PCIe SSD,Intel Iris Xe Graphics,No OS,2.2512689711760525,65229.92609876878
Apple,Business Laptop,16.850319405149463,4K,Intel Core i5,16GB,4TB HDD,AMD Radeon RX 5600M,Windows 10,2.2337401124145577,43247.914624880024
Dell,Gaming,12.029502416875346,IPS Panel Retina Display 2560x1600,Intel Celeron Dual Core 3855U ,4GB,128GB PCIe SSD,NVIDIA GeForce GTX 1650,Windows 11,3.374089701269994,52868.681721954374
hp,UltraBook,13.839458244364446,4K,Intel Celeron Dual Core 3855U ,8GB,1TB SSHD,Intel Iris Xe Graphics,macOS,4.471295326425938,35035.48052167118
lenevo,Business Laptop,14.763764036796694,2K,Intel Core i5,4GB,2TB SATA SSD,AMD Radeon RX 5600M,Linux,2.4866040875612327,45026.80900335574
Acer,NoteBook,17.155836912266615,2K,Intel Atom x5-Z8550,12GB,1TB SSHD,AMD Radeon RX 5600M,Windows 11,3.5205597989787143,30196.69233628795
Asus,NoteBook,12.450568720763592,IPS Panel Retina Display 2560x1600,Intel Core i7,12GB,1TB HDD,Intel Iris Xe Graphics,Linux,2.4902462426879204,32845.97690463878
Asus,UltraBook,15.168339931155774,IPS Panel Retina Display 2560x1600,Intel Core i9,4GB,1TB HDD,AMD Radeon RX 5600M,Windows 10,2.203062993345294,30854.291419937195
Microsoft,NoteBook,17.41886273210014,HD 1920x1080 ,Intel Xeon E3-1505M ,4GB,256GB Flash Storage,Intel Iris Xe Graphics,Windows 10,2.917908442311335,64418.127919650586
hp,NoteBook,11.550774444094156,2K,Intel Atom x5-Z8550,12GB,256GB eMMC,Intel Iris Xe Graphics,macOS,4.0118033299954945,69744.35896369554
