CompanyName,TypeOfLaptop,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
hp,NoteBook,11.251395833966084,2K,Intel Core i7,8GB,2TB NVMe SSD,Intel Iris Xe Graphics,Windows 11,2.372650195040352,32926.64597286744
Asus,NoteBook,11.278223873870182,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,8GB,1TB SSHD,AMD Radeon RX 5600M,Windows 11,4.99830529965964,41540.1191991689
Acer,Gaming,15.450922343797403,2K,Intel Core i5,8GB,4TB HDD,NVIDIA GeForce GTX 1650,Windows 10,4.3802469983396914,30085.52365612484
Dell,WorkStation,14.431591005259527,HD 1920x1080 ,Intel Atom x5-Z8550,8GB,2TB HDD,NVIDIA GeForce GTX 1650,Linux,2.6206000311479523,97856.73504438312
hp,NoteBook,17.437039496498898,2K,Intel Pentium Quad Core N4200,16GB,256GB PCIe SSD,AMD Radeon RX 5600M,macOS,4.169776663782264,49104.06483058982
Microsoft,NoteBook,13.89498348168414,IPS Panel Full HD / Touchscreen 1920x1080,Intel Atom x5-Z8550,8GB,1TB HDD,AMD Radeon RX 5600M,Windows 11,2.0436152777633962,34749.23911150581
MSI,WorkStation,11.850870560072215,IPS Panel Full HD / Touchscreen 1920x1080,AMD A9-Series 9420,8GB,512GB eMMC,NVIDIA GeForce GTX 1650,Windows 11,4.559863385620691,55346.78529250827
Acer,UltraBook,17.23484146733309,2K,Intel Core i5,8GB,128GB PCIe SSD,AMD Radeon RX 5600M,macOS,2.5817144628204445,48422.96352356182
Chuwi,NoteBook,16.860602191185336,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,16GB,512GB eMMC,Intel Iris Xe Graphics,macOS,4.00374708792401,52600.17501099809
MSI,NoteBook,17.03552240664211,4K,Intel Pentium Quad Core N4200,4GB,1TB HDD,Intel Iris Xe Graphics,macOS,2.2059299165939126,34763.976731226125
lenevo,2 in 1 Convertible,12.368863150288,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 5,8GB,512GB eMMC,Intel Iris Xe Graphics,No OS,3.6338831679722214,58713.68673205437
hp,Gaming,12.216407398132112,IPS Panel Retina Display 2560x1600,AMD Ryzen 5,12GB,2TB SATA SSD,AMD Radeon RX 5600M,Linux,2.798518969507251,71074.308123416
Dell,2 in 1 Convertible,15.534955617515028,HD 1920x1080 ,AMD Ryzen 5,12GB,128GB PCIe SSD,AMD Radeon RX 5600M,Windows 10,2.49885653346064,58707.23549048132
Acer,Business Laptop,17.2165073612766,4K,Intel Core i5,4GB,4TB HDD,NVIDIA GeForce GTX 1650,macOS,4.9368936242523045,67416.32331797585
Dell,Gaming,12.880100217105177,HD 1920x1080 ,AMD Ryzen 7,16GB,1TB NVMe SSD,Intel Iris Xe Graphics,No OS,4.349743794847101,52377.704365759855
Apple,2 in 1 Convertible,11.087720109578761,IPS Panel Retina Display 2560x1600,Intel Pentium Quad Core N4200,12GB,128GB PCIe SSD,AMD Radeon RX 5600M,Windows 10,3.1757741862958504,64579.5102115104
Microsoft,WorkStation,16.966073863153888,4K,Intel Xeon E3-1505M ,16GB,2TB SATA SSD,AMD Radeon RX 5600M,Windows 10,4.360902396182313,34155.326091368835
MSI,WorkStation,14.816429575129487,Full HD,Intel Pentium Quad Core N4200,4GB,512GB eMMC,NVIDIA GeForce GTX 1650,No OS,2.5186915416313616,52602.11136743505
Chuwi,Business Laptop,15.633471402974791,IPS Panel Retina Display 2560x1600,Intel Core i5,16GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,Windows 10,4.018826191698205,39349.29673953445
MSI,Gaming,11.39507292023701,2K,AMD Ryzen 7,4GB,1TB HDD,AMD Radeon RX 5600M,No OS,3.5824061455986125,64919.06623283592
Asus,Gaming,12.284401945420422,IPS Panel Retina Display 2560x1600,Intel Celeron Dual Core 3855U ,4GB,1TB NVMe SSD,Intel Iris Xe Graphics,Windows 11,4.214508427013036,34493.00720559509
Dell,2 in 1 Convertible,16.11833489802099,2K,Intel Core i5,16GB,512GB eMMC,AMD Radeon RX 5600M,No OS,2.296406409348853,65845.51834240781
hp,2 in 1 Convertible,14.463742346350596,HD 1920x1080 ,AMD Ryzen 5,4GB,2TB NVMe SSD,NVIDIA GeForce GTX 1650,No OS,4.765748524561468,56852.42680604859
Apple,WorkStation,17.888143685250594,IPS Panel Retina Display 2560x1600,AMD Ryzen 7,4GB,256GB eMMC,NVIDIA GeForce GTX 1650,macOS,3.1906667327774962,45427.08603536282
Chuwi,UltraBook,12.02094531194661,Full HD,Intel Core i5,4GB,256GB eMMC,AMD Radeon RX 5600M,macOS,4.53342528197223,39897.68199873549
Acer,UltraBook,14.269626075476559,Full HD,Intel Core i5,8GB,2TB SATA SSD,AMD Radeon RX 5600M,Windows 10,4.209078695442112,49855.10598060489
Chuwi,UltraBook,14.018192545839398,IPS Panel Retina Display 2560x1600,Intel Core i9,4GB,256GB eMMC,NVIDIA GeForce GTX 1650,Windows 10,2.93206595785906,47415.95831251251
Asus,Business Laptop,11.00993096881812,4K,AMD Ryzen 5,12GB,128GB PCIe SSD,Intel Iris Xe Graphics,No OS,2.539027166488129,35031.83197873057
Microsoft,WorkStation,17.16506218878009,Full HD,AMD A9-Series 9420,16GB,1TB HDD,Intel Iris Xe Graphics,No OS,3.5585767181098014,63541.76920798042
Microsoft,2 in 1 Convertible,12.981194690377444,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,12GB,512GB SSD,AMD Radeon RX 5600M,No OS,3.407366548760747,39490.76705080102
MSI,UltraBook,12.923347255378959,Full HD,Intel Celeron Dual Core 3855U ,16GB,1TB HDD,Intel Iris Xe Graphics,Linux,2.6248341810779636,56730.29940568007
Asus,NoteBook,17.53202480835436,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,8GB,1TB HDD,Intel Iris Xe Graphics,Linux,4.305053470772247,66488.80239294059
hp,NoteBook,12.792172026698772,IPS Panel Retina Display 2560x1600,AMD A9-Series 9420,4GB,512GB SSD,Intel Iris Xe Graphics,macOS,4.714559043128414,39883.199057168094
MSI,NoteBook,17.39032666505293,IPS Panel Retina Display 2560x1600,AMD A9-Series 9420,8GB,512GB NVMe SSD,Intel Iris Xe Graphics,No OS,2.9727910857587143,52114.903927409585
Asus,2 in 1 Convertible,15.726826267146375,4K,Intel Core i5,4GB,2TB NVMe SSD,AMD Radeon RX 5600M,macOS,4.948187381021988,58268.0502911474
MSI,UltraBook,11.051587699505863,Full HD,Intel Pentium Quad Core N4200,12GB,2TB SATA SSD,Intel Iris Xe Graphics,macOS,3.532706182829611,56205.79447683326
Acer,2 in 1 Convertible,17.83176857857429,IPS Panel Retina Display 2560x1600,Intel Core i5,16GB,512GB eMMC,Intel Iris Xe Graphics,No OS,4.497842154881368,42995.48366518439
lenevo,NoteBook,16.340139422715858,Full HD,AMD Ryzen 7,12GB,256GB eMMC,AMD Radeon RX 5600M,Linux,2.3171844998789646,39059.902612691876
Microsoft,WorkStation,14.545098859501449,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,12GB,6TB HDD,AMD Radeon RX 5600M,macOS,4.192991570664761,60309.02802809958
MSI,Business Laptop,14.777314588989757,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 5,4GB,256GB Flash Storage,NVIDIA GeForce GTX 1650,Windows 10,4.773541513299268,53424.3998877156
Asus,Business Laptop,12.32202222072808,IPS Panel Retina Display 2560x1600,Intel Core i7,16GB,256GB Flash Storage,NVIDIA GeForce GTX 1650,macOS,2.8106375069930234,60767.92058825548
Acer,UltraBook,17.710841451404786,2K,Intel Core i7,8GB,512GB SSD,Intel Iris Xe Graphics,No OS,4.2195132509100155,37367.054906823694
Chuwi,2 in 1 Convertible,14.283551627471036,HD 1920x1080 ,Intel Core i5,8GB,6TB HDD,Intel Iris Xe Graphics,No OS,4.934748150339174,32826.986251908835
lenevo,UltraBook,13.164317808475404,IPS Panel Retina Display 2560x1600,AMD Ryzen 5,4GB,512GB eMMC,NVIDIA GeForce GTX 1650,Windows 10,2.1113238768843825,48603.175585563295
Chuwi,Business Laptop,13.729792717559416,IPS Panel Retina Display 2560x1600,Intel Core i5,4GB,1TB SSHD,NVIDIA GeForce GTX 1650,Windows 10,3.5354561736858763,57598.173938609754
hp,WorkStation,17.261706507338587,Full HD,Intel Xeon E3-1505M ,8GB,256GB PCIe SSD,Intel Iris Xe Graphics,macOS,4.775163573275014,42024.57173599427
Chuwi,2 in 1 Convertible,15.059797282589651,4K,AMD Ryzen 5,8GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,Windows 11,3.8989745957396127,68234.9201870964
MSI,UltraBook,11.475603785175508,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,8GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,macOS,4.316283667703633,56436.604192524035
Microsoft,UltraBook,11.752234122728778,4K,AMD Ryzen 5,8GB,512GB NVMe SSD,NVIDIA GeForce GTX 1650,No OS,2.595410330915871,50976.29411394383
Acer,Gaming,17.682575534983897,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,12GB,256GB PCIe SSD,AMD Radeon RX 5600M,Linux,4.09318969517682,44862.43175991089
Asus,NoteBook,13.893435091683529,2K,AMD Ryzen 5,8GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,Windows 10,3.0563950776715423,46051.53344240397
hp,UltraBook,13.652832146043323,HD 1920x1080 ,Intel Xeon E3-1505M ,8GB,2TB NVMe SSD,AMD Radeon RX 5600M,Linux,3.9573148588887843,34085.61779770568
Asus,Gaming,15.491801252135893,HD 1920x1080 ,Intel Core i5,8GB,1TB NVMe SSD,Intel Iris Xe Graphics,Windows 11,3.0211349705679535,53142.883251728475
hp,Business Laptop,13.271354758091485,IPS Panel Retina Display 2560x1600,Intel Core i7,4GB,2TB NVMe SSD,NVIDIA GeForce GTX 1650,Linux,4.417029824010169,50856.022685052325
Chuwi,Gaming,16.138818864756537,4K,Intel Core i7,16GB,256GB Flash Storage,AMD Radeon RX 5600M,No OS,3.1845032440414647,65465.32471022144
Acer,Gaming,13.738213873949967,2K,Intel Pentium Quad Core N4200,12GB,6TB HDD,AMD Radeon RX 5600M,Linux,2.2704398727689368,33515.87704860502
Chuwi,2 in 1 Convertible,12.282643598683874,Full HD,AMD Ryzen 5,16GB,2TB SATA SSD,Intel Iris Xe Graphics,No OS,3.976230715160603,64165.818225178606
Acer,UltraBook,14.67560695493814,2K,Intel Xeon E3-1505M ,4GB,256GB PCIe SSD,AMD Radeon RX 5600M,Windows 11,3.0342279211997307,40721.02174701198
Acer,NoteBook,15.144632891263797,HD 1920x1080 ,AMD Ryzen 5,16GB,256GB Flash Storage,Intel Iris Xe Graphics,Windows 10,2.4028620218845695,53601.670175430496
Chuwi,2 in 1 Convertible,12.725227796286637,HD 1920x1080 ,Intel Atom x5-Z8550,8GB,1TB HDD,NVIDIA GeForce GTX 1650,Windows 11,2.1016242591433065,41749.25534195867
Apple,2 in 1 Convertible,17.927960811109163,Full HD,AMD A9-Series 9420,4GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,Windows 10,2.542060082697942,57376.02825000754
lenevo,UltraBook,11.162263387433615,HD 1920x1080 ,Intel Core i9,16GB,1TB Fusion Drive,Intel Iris Xe Graphics,Windows 11,3.5305829768684083,41465.298283562886
Acer,Business Laptop,11.808197018279037,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,16GB,2TB SATA SSD,Intel Iris Xe Graphics,Windows 11,4.057376888646928,48137.586467089364
Apple,NoteBook,11.549347569092914,4K,Intel Core i5,4GB,2TB HDD,NVIDIA GeForce GTX 1650,Windows 10,2.831607478442461,59458.022468943454
Dell,UltraBook,17.39525894671843,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,4GB,1TB NVMe SSD,NVIDIA GeForce GTX 1650,Windows 10,2.411258142721076,66582.20417971237
Microsoft,Business Laptop,15.626134668293126,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,8GB,512GB eMMC,NVIDIA GeForce GTX 1650,No OS,2.584297664743132,57840.776770308345
hp,Business Laptop,11.063442742029146,2K,AMD Ryzen 5,4GB,6TB HDD,Intel Iris Xe Graphics,Windows 11,4.986586200576757,43727.50752151632
Dell,UltraBook,14.434850394305098,IPS Panel Retina Display 2560x1600,Intel Core i9,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 10,4.058617846637443,86433.34390616746
lenevo,WorkStation,12.58736201470449,2K,AMD Ryzen 5,4GB,512GB SSD,NVIDIA GeForce GTX 1650,macOS,4.733380736030673,34306.79809223844
Chuwi,Gaming,15.864829046218034,4K,Intel Pentium Quad Core N4200,16GB,512GB NVMe SSD,AMD Radeon RX 5600M,macOS,2.659814300946251,33392.62723262142
Chuwi,WorkStation,11.621210406536504,HD 1920x1080 ,AMD A9-Series 9420,12GB,1TB HDD,NVIDIA GeForce GTX 1650,Windows 10,3.543243888094908,44789.08274089983
MSI,2 in 1 Convertible,13.64782999204557,HD 1920x1080 ,Intel Celeron Dual Core 3855U ,12GB,128GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,3.939328190073548,68964.8833001651
hp,UltraBook,14.547741693065898,IPS Panel Retina Display 2560x1600,Intel Core i9,4GB,2TB NVMe SSD,Intel Iris Xe Graphics,No OS,2.8025804378034493,36488.845163552796
Chuwi,NoteBook,12.61070220536686,HD 1920x1080 ,AMD Ryzen 7,12GB,256GB eMMC,NVIDIA GeForce GTX 1650,Windows 11,2.1144033935131223,57933.08205027812
Asus,UltraBook,13.831497893694317,HD 1920x1080 ,Intel Xeon E3-1505M ,12GB,256GB eMMC,AMD Radeon RX 5600M,Linux,2.985005361492812,37401.300040463175
hp,NoteBook,13.304550726025743,Full HD,Intel Core i7,16GB,1TB SSHD,AMD Radeon RX 5600M,macOS,2.491047567834193,51709.743805977065
Apple,Business Laptop,16.75636252016024,HD 1920x1080 ,Intel Pentium Quad Core N4200,16GB,512GB NVMe SSD,AMD Radeon RX 5600M,Linux,4.5531708298174935,68752.01816345425
Asus,WorkStation,14.006878627279377,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 7,4GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,macOS,3.2885706727932176,60141.09727130412
Microsoft,Business Laptop,16.576728673599334,Full HD,Intel Core i7,16GB,128GB PCIe SSD,Intel Iris Xe Graphics,macOS,4.871731176168369,65772.00520984977
Apple,WorkStation,17.461397724394377,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 5,12GB,2TB HDD,AMD Radeon RX 5600M,No OS,3.8281854811498306,42431.29646192846
Microsoft,NoteBook,11.61527295013473,2K,Intel Pentium Quad Core N4200,8GB,256GB SSD,Intel Iris Xe Graphics,Linux,3.0786836997573457,41786.319476667166
Acer,Business Laptop,13.439684716196036,HD 1920x1080 ,Intel Atom x5-Z8550,8GB,4TB HDD,NVIDIA GeForce GTX 1650,No OS,2.412352057566989,46029.12568748229
Chuwi,WorkStation,13.320944391456779,2K,Intel Xeon E3-1505M ,12GB,1TB SSHD,Intel Iris Xe Graphics,Windows 10,4.217814815380207,52294.93704261347
Apple,2 in 1 Convertible,12.24624786259835,Full HD,AMD Ryzen 7,16GB,512GB SSD,AMD Radeon RX 5600M,macOS,4.844897266955675,92672.95630323913
Microsoft,2 in 1 Convertible,14.451253279091013,4K,Intel Celeron Dual Core 3855U ,12GB,2TB HDD,AMD Radeon RX 5600M,macOS,2.062467777625675,60193.32319201209
Microsoft,WorkStation,14.989079234668278,IPS Panel Full HD / Touchscreen 1920x1080,AMD A9-Series 9420,4GB,512GB SSD,AMD Radeon RX 5600M,No OS,4.355676273650084,69521.4568677557
MSI,UltraBook,14.589247530354402,IPS Panel Retina Display 2560x1600,Intel Celeron Dual Core 3855U ,8GB,2TB HDD,AMD Radeon RX 5600M,Linux,2.430079114988453,49265.82483290141
Dell,Gaming,13.279587554194233,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,8GB,6TB HDD,Intel Iris Xe Graphics,Windows 11,4.734050926548697,69768.07705718117
Acer,Gaming,13.474208692323147,Full HD,Intel Pentium Quad Core N4200,12GB,256GB SSD,Intel Iris Xe Graphics,macOS,3.9449772455211662,37279.500488824415
Acer,Business Laptop,11.555214102702205,Full HD,Intel Core i7,12GB,512GB eMMC,Intel Iris Xe Graphics,Linux,3.1019232249867015,55639.74468826484
Dell,WorkStation,11.474958827783118,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i9,4GB,1TB HDD,Intel Iris Xe Graphics,Windows 10,4.332153965752448,41455.85671083796
Acer,2 in 1 Convertible,13.545035346359382,IPS Panel Retina Display 2560x1600,Intel Celeron Dual Core 3855U ,8GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,3.682869198837819,47338.39153605346
Asus,Business Laptop,16.9808649896558,IPS Panel Retina Display 2560x1600,Intel Core i5,4GB,1TB Fusion Drive,Intel Iris Xe Graphics,Windows 10,3.202338883978398,30451.070839326345
Apple,2 in 1 Convertible,17.863714304758624,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i9,16GB,1TB SSHD,Intel Iris Xe Graphics,No OS,2.4804393553648634,36401.773615155915
Apple,Business Laptop,13.74597282468006,HD 1920x1080 ,Intel Core i5,4GB,128GB SSD,NVIDIA GeForce GTX 1650,No OS,3.072788859416698,47604.2464547612
Apple,NoteBook,11.570875899079383,IPS Panel Retina Display 2560x1600,Intel Xeon E3-1505M ,4GB,1TB HDD,NVIDIA GeForce GTX 1650,No OS,3.447636925902353,49051.82572713484
Microsoft,WorkStation,17.2915210573874,IPS Panel Full HD / Touchscreen 1920x1080,Intel Pentium Quad Core N4200,4GB,512GB SSD,NVIDIA GeForce GTX 1650,macOS,4.604538364638454,36439.95853153804
Microsoft,Gaming,13.197643134205613,IPS Panel Full HD / Touchscreen 1920x1080,Intel Xeon E3-1505M ,16GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,Windows 10,2.661128803909631,39209.51919880934
lenevo,Gaming,15.830304004271078,4K,AMD Ryzen 7,4GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,3.0224498998880107,58422.99506160713
MSI,2 in 1 Convertible,17.37551058210087,4K,Intel Core i9,8GB,2TB NVMe SSD,AMD Radeon RX 5600M,No OS,4.332485196925397,52052.15878998241
Microsoft,Gaming,13.382327170213621,HD 1920x1080 ,Intel Pentium Quad Core N4200,8GB,1TB SSHD,NVIDIA GeForce GTX 1650,No OS,2.56062515986398,31601.860556631087
Dell,NoteBook,12.374193759902509,2K,Intel Pentium Quad Core N4200,4GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,Windows 10,4.569439868185851,38627.363916509894
Acer,Business Laptop,11.772086786111403,HD 1920x1080 ,Intel Xeon E3-1505M ,16GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,3.8457759491923724,40842.74312295027
Apple,Business Laptop,17.691484365103832,IPS Panel Retina Display 2560x1600,Intel Core i5,12GB,6TB HDD,Intel Iris Xe Graphics,No OS,4.80625888594345,36506.01048757621
Microsoft,WorkStation,14.899443495831475,IPS Panel Full HD / Touchscreen 1920x1080,Intel Atom x5-Z8550,4GB,1TB HDD,NVIDIA GeForce GTX 1650,Windows 10,2.5051546523602948,34487.00212344083
Acer,WorkStation,13.9854761119081,IPS Panel Retina Display 2560x1600,AMD Ryzen 7,16GB,1TB HDD,Intel Iris Xe Graphics,Windows 10,4.389939126862985,33362.09220194542
Apple,Business Laptop,13.727764015559362,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,4GB,128GB PCIe SSD,AMD Radeon RX 5600M,Windows 11,4.625907065992031,44778.394315851765
Asus,UltraBook,15.716496376448085,2K,AMD Ryzen 5,12GB,256GB PCIe SSD,Intel Iris Xe Graphics,No OS,4.6625751664534665,30654.277620609053
Dell,UltraBook,13.764700944293839,HD 1920x1080 ,AMD Ryzen 5,8GB,6TB HDD,Intel Iris Xe Graphics,macOS,2.6692771785763068,70363.12068019548
Apple,2 in 1 Convertible,12.917115116189237,Full HD,Intel Core i5,4GB,512GB NVMe SSD,AMD Radeon RX 5600M,No OS,3.9864166422011684,64589.20732128965
lenevo,Gaming,14.354566793372408,HD 1920x1080 ,Intel Atom x5-Z8550,8GB,1TB HDD,Intel Iris Xe Graphics,macOS,4.54091527900596,47797.052936197535
Dell,2 in 1 Convertible,11.14988720851766,IPS Panel Retina Display 2560x1600,Intel Xeon E3-1505M ,16GB,2TB HDD,Intel Iris Xe Graphics,No OS,4.742315726422834,42686.264441235755
Chuwi,2 in 1 Convertible,17.772483003320676,IPS Panel Retina Display 2560x1600,AMD Ryzen 5,8GB,1TB HDD,Intel Iris Xe Graphics,No OS,3.453730978486685,61148.90539510597
Dell,UltraBook,12.446451995791094,2K,Intel Pentium Quad Core N4200,12GB,512GB SSD,Intel Iris Xe Graphics,Linux,3.0457199858939488,38302.6405403141
hp,UltraBook,17.73488536187058,IPS Panel Retina Display 2560x1600,Intel Core i7,12GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,Linux,4.2616320425287775,66676.20967277396
Microsoft,NoteBook,11.666858735041712,2K,Intel Celeron Dual Core 3855U ,8GB,512GB SSD,NVIDIA GeForce GTX 1650,Windows 11,2.0539918016457848,63969.17653794601
hp,NoteBook,11.677811844052755,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,4GB,2TB SATA SSD,AMD Radeon RX 5600M,Windows 10,3.1908354366434666,65725.91187437488
Microsoft,NoteBook,15.694198780397809,Full HD,AMD Ryzen 5,8GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,Windows 11,2.6966317693484907,68134.17561269774
hp,2 in 1 Convertible,17.547988089772495,Full HD,Intel Core i9,4GB,4TB HDD,NVIDIA GeForce GTX 1650,Windows 11,4.992251294612266,44700.26142535771
Microsoft,WorkStation,17.054946587145984,IPS Panel Full HD / Touchscreen 1920x1080,AMD A9-Series 9420,8GB,256GB eMMC,NVIDIA GeForce GTX 1650,macOS,3.7290411241674253,30050.217365154476
Apple,Business Laptop,15.252992479511848,Full HD,Intel Celeron Dual Core 3855U ,16GB,1TB SSHD,Intel Iris Xe Graphics,Windows 11,4.847367921445783,69688.17628724725
Acer,WorkStation,14.467769456123685,2K,Intel Pentium Quad Core N4200,16GB,2TB NVMe SSD,AMD Radeon RX 5600M,Windows 10,3.79132119727661,64271.14419508083
Chuwi,WorkStation,15.725583635791928,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 5,4GB,1TB SSHD,Intel Iris Xe Graphics,No OS,2.724456568022065,65176.91890328077
Dell,2 in 1 Convertible,12.451604077606017,Full HD,AMD A9-Series 9420,8GB,4TB HDD,Intel Iris Xe Graphics,No OS,4.205606588057858,95457.96599621173
Apple,2 in 1 Convertible,17.50810222473613,IPS Panel Retina Display 2560x1600,Intel Core i7,16GB,6TB HDD,AMD Radeon RX 5600M,Linux,4.368489669515404,48320.64459646467
Microsoft,UltraBook,12.576676938304125,HD 1920x1080 ,AMD Ryzen 5,12GB,1TB HDD,AMD Radeon RX 5600M,No OS,4.1955205901132855,33345.82774991028
Dell,2 in 1 Convertible,16.84875038431561,4K,AMD Ryzen 5,12GB,4TB HDD,NVIDIA GeForce GTX 1650,Windows 11,3.865371809126331,49913.398026765586
Chuwi,UltraBook,12.049287565078691,Full HD,Intel Core i9,4GB,512GB eMMC,NVIDIA GeForce GTX 1650,No OS,2.0101839334628613,37573.43470043873
lenevo,2 in 1 Convertible,11.78878247023659,HD 1920x1080 ,AMD Ryzen 5,12GB,2TB NVMe SSD,Intel Iris Xe Graphics,macOS,4.01720778952704,30931.778459342717
Acer,NoteBook,12.133845119479027,HD 1920x1080 ,Intel Core i7,12GB,128GB PCIe SSD,Intel Iris Xe Graphics,Linux,3.7461040638973477,59974.392673416834
Asus,2 in 1 Convertible,14.892834521727007,4K,Intel Xeon E3-1505M ,16GB,512GB eMMC,AMD Radeon RX 5600M,Linux,3.785449993857233,38170.51347113332
lenevo,NoteBook,14.563739400149919,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,16GB,1TB SSHD,Intel Iris Xe Graphics,Linux,3.750858825177815,44589.05880966296
Dell,Business Laptop,12.790039251796298,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i9,16GB,512GB NVMe SSD,NVIDIA GeForce GTX 1650,Linux,3.801729463784258,44244.09074685353
lenevo,NoteBook,14.868855555393267,HD 1920x1080 ,Intel Pentium Quad Core N4200,12GB,256GB eMMC,Intel Iris Xe Graphics,Windows 10,2.2714261201153927,46362.054569719054
Dell,WorkStation,14.910767776724589,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 5,8GB,2TB SATA SSD,Intel Iris Xe Graphics,Windows 10,4.218577372014708,71266.55353761322
